employee_id,project_id,role,start_date,end_date
1,1,Developer,2023-01-15,2023-06-30
2,2,Project Manager,2023-01-15,2023-06-30
3,3,Developer,2023-02-20,2023-08-15
4,4,Tester,2023-03-01,2023-09-30
5,5,Developer,2023-05-10,2023-11-15
6,6,Project Manager,2023-05-10,2023-11-15
7,7,Developer,2023-06-05,2023-12-20
8,8,Marketing Lead,2023-06-05,2023-12-20
9,9,Analyst,2023-09-10,2024-04-30
10,10,Project Manager,2023-09-10,2024-04-30
11,11,Developer,2023-08-15,2024-03-01
12,12,Project Manager,2023-08-15,2024-03-01
13,13,Developer,2024-01-10,2024-06-30
14,14,Developer,2024-01-10,2024-06-30
15,15,Marketing Lead,2024-01-15,2024-07-31
16,16,Developer,2024-01-15,2024-07-31
17,17,Tester,2024-02-01,2024-08-01
18,18,Developer,2024-02-01,2024-08-01
19,19,Project Manager,2024-03-01,2024-09-30
20,20,Developer,2024-03-01,2024-09-30
21,21,Tester,2024-06-01,2024-12-15
22,22,Developer,2024-06-01,2024-12-15
23,23,Analyst,2024-06-01,2024-12-15
24,24,Developer,2024-06-15,2024-12-01
25,25,Project Manager,2024-06-15,2024-12-01
26,26,Developer,2024-07-01,2024-12-31
27,27,Marketing Lead,2024-07-01,2024-12-31
28,28,Developer,2024-07-01,2024-12-31
29,29,Analyst,2024-08-01,2024-12-31
30,30,Tester,2024-08-01,2024-12-31
